inventory_number,notary
1930,DAVID DOORNICK
1931,DAVID DOORNICK
1932,DAVID DOORNICK
1933,DAVID DOORNICK
1934,DAVID DOORNICK
1935,DAVID DOORNICK
1936,DAVID DOORNICK
1937,DAVID DOORNICK
1938,DAVID DOORNICK
1939,DAVID DOORNICK
1940,DAVID DOORNICK
1941,DAVID DOORNICK
1942,DAVID DOORNICK
1943,DAVID DOORNICK
1944,DAVID DOORNICK
1945,DAVID DOORNICK
1946,DAVID DOORNICK
1947,DAVID DOORNICK
1948,DAVID DOORNICK
1949,DAVID DOORNICK
1950,DAVID DOORNICK
1951,DAVID DOORNICK
1952,DAVID DOORNICK
1953,DAVID DOORNICK
1954,DAVID DOORNICK
1955,DAVID DOORNICK
1956,DAVID DOORNICK
1957,DAVID DOORNICK
1958,DAVID DOORNICK
1959,DAVID DOORNICK
1960,DAVID DOORNICK
1961,DAVID DOORNICK
1962,DAVID DOORNICK
1963,DAVID DOORNICK
1964,DAVID DOORNICK
1965,DAVID DOORNICK
1966,DAVID DOORNICK
1967,DAVID DOORNICK
1968,DAVID DOORNICK
1969,DAVID DOORNICK
1970A,DAVID DOORNICK
1970B,DAVID DOORNICK
1971,JACOB VAN LOOSDRECHT
1972,JACOB VAN LOOSDRECHT
1973,JACOB VAN LOOSDRECHT
1974,JACOB VAN LOOSDRECHT
1975,JACOB VAN LOOSDRECHT
1976,JACOB VAN LOOSDRECHT
1977A,JACOB VAN LOOSDRECHT
1977B,JACOB VAN LOOSDRECHT
1978,JACOB VAN LOOSDRECHT
1979,JACOB VAN LOOSDRECHT
1980,JACOB VAN LOOSDRECHT
1981,JACOB VAN LOOSDRECHT
1982,JACOB VAN LOOSDRECHT
1983,JACOB VAN LOOSDRECHT
1984,JACOB VAN LOOSDRECHT
1985,JACOB VAN LOOSDRECHT
1986,JACOB VAN LOOSDRECHT
1987A,JACOB VAN LOOSDRECHT
1987B,JACOB VAN LOOSDRECHT
1988,JACOB VAN LOOSDRECHT
1989,JACOB VAN LOOSDRECHT
1990,JACOB VAN LOOSDRECHT
1991,JACOB VAN LOOSDRECHT
1992,JACOB VAN LOOSDRECHT
1993,JACOB VAN LOOSDRECHT
1994,JACOB VAN LOOSDRECHT
1995,JACOB VAN LOOSDRECHT
1996A,JACOB VAN LOOSDRECHT
1996B,JACOB VAN LOOSDRECHT
1997,JACOB VAN LOOSDRECHT
1998,JACOB VAN LOOSDRECHT
1999,JACOB VAN LOOSDRECHT
2000,JACOB VAN LOOSDRECHT
2001,JACOB VAN LOOSDRECHT
2002,JACOB VAN LOOSDRECHT
2003,JACOB VAN LOOSDRECHT
2004A,JACOB VAN LOOSDRECHT
2004B,JACOB VAN LOOSDRECHT
2005A,JACOB VAN LOOSDRECHT
2005B,JACOB VAN LOOSDRECHT
2006A,JACOB VAN LOOSDRECHT
2006B,JACOB VAN LOOSDRECHT
2007A,JACOB VAN LOOSDRECHT
2007B,JACOB VAN LOOSDRECHT
2008A,JACOB VAN LOOSDRECHT
2008B,JACOB VAN LOOSDRECHT
2009A,JACOB VAN LOOSDRECHT
2009B,JACOB VAN LOOSDRECHT
2010A,JACOB VAN LOOSDRECHT
2010B,JACOB VAN LOOSDRECHT
2011A,JACOB VAN LOOSDRECHT
2011B,JACOB VAN LOOSDRECHT
2012A,JACOB VAN LOOSDRECHT
2012B,JACOB VAN LOOSDRECHT
2013A,JACOB VAN LOOSDRECHT
2013B,JACOB VAN LOOSDRECHT
2014A,JACOB VAN LOOSDRECHT
2014B,JACOB VAN LOOSDRECHT
2015A,JACOB VAN LOOSDRECHT
2015B,JACOB VAN LOOSDRECHT
2016A,JACOB VAN LOOSDRECHT
2016B,JACOB VAN LOOSDRECHT
2017A,JACOB VAN LOOSDRECHT
2017B,JACOB VAN LOOSDRECHT
2018,JACOB VAN LOOSDRECHT
2037,JOHANNES HELLERUS
2038,JOHANNES HELLERUS
2039,JOHANNES HELLERUS
2040,JOHANNES HELLERUS
2041,JOHANNES HELLERUS
2042,JOHANNES HELLERUS
2043,JOHANNES HELLERUS
2044,JOHANNES HELLERUS
2045,JOHANNES HELLERUS
2046,JOHANNES HELLERUS
2047,JOHANNES HELLERUS
2048,JOHANNES HELLERUS
2091,FRANCOIS MEERHOUT
2092,FRANCOIS MEERHOUT
2093,FRANCOIS MEERHOUT
2094,FRANCOIS MEERHOUT
2095,FRANCOIS MEERHOUT
